LABEL,NOAJS,CNC ,CFC
1,0.619,1.000,0.103
2,0.286,0.020,1.000
3,0.286,0.036,0.179
4,0.667,0.039,0.154
5,0.190,0.046,0.077
6,0.190,0.035,0.103
7,0.048,0.035,0.103
8,0.143,0.040,0.077
9,0.714,0.035,0.205
10,0.190,0.000,0.000
11,0.000,0.056,0.051
12,0.048,0.025,0.051
13,0.952,0.083,0.282
14,0.190,0.035,0.051
15,0.381,0.060,0.051
16,0.238,0.032,0.128
17,0.810,0.061,0.026
18,0.286,0.049,0.103
19,0.095,0.039,0.000
20,0.857,0.019,0.103
21,0.476,0.034,0.179
22,0.095,0.053,0.103
23,0.238,0.051,0.103
24,0.238,0.032,0.103
25,0.000,0.032,0.000
26,1.000,0.053,0.282
